IBOV - Carteira do Dia 22/04/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;199.733.824;0,409;15,822;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.169.237.744;1,243;15,822;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON  EDR N2;2.703.343.822;4,442;15,822;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  EDR N2;4.566.442.248;6,794;15,822;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,009;15,822;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.085.952.374;0,734;15,822;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.131.883.365;1,191;15,822;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;410.253.528;0,726;1,851;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,125;1,851;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;303.425.821;0,225;3,670;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.411.767.198;2,167;3,670;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.027.077;0,184;3,670;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;562.360.943;1,094;3,670;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;431.783.548;0,170;1,082;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;548.153.725;0,053;1,082;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;519.851.955;0,859;1,082;
Telecomunicação;VIVT3;TELEF BRASIL;ON;433.476.952;1,070;1,583;
Telecomunicação;TIMS3;TIM;ON      NM;808.619.532;0,513;1,583;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.934;0,753;0,753;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.114.214.662;0,768;6,785;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.563.365.506;0,538;6,785;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,310;6,785;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;358.028.908;0,707;6,785;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;242.987.127;0,480;6,785;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;230.931.405;0,234;6,785;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,555;6,785;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.261.568.398;0,867;6,785;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,527;6,785;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.128.906.085;1,344;6,785;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,455;6,785;
Quantidade Teórica Total;;;;96.106.920.849;100,000;100,000
Redutor;;;;18.693.065,06612838
